TICKER,1/3/2007,2/1/2007,3/1/2007,4/2/2007,5/1/2007,6/1/2007,7/2/2007,8/1/2007,9/4/2007,10/1/2007,11/1/2007,12/3/2007,1/2/2008,2/1/2008,3/3/2008,4/1/2008,5/1/2008,6/2/2008,7/1/2008,8/1/2008,9/2/2008,10/1/2008,11/3/2008,12/1/2008,1/2/2009,2/2/2009,3/2/2009,4/1/2009,5/1/2009,6/1/2009,7/1/2009,8/3/2009,9/1/2009,10/1/2009,11/2/2009,12/1/2009,1/4/2010,2/1/2010,3/1/2010,4/1/2010,5/3/2010,6/1/2010,7/1/2010,8/2/2010,9/1/2010,10/1/2010,11/1/2010,12/1/2010,1/3/2011,2/1/2011,3/1/2011,4/1/2011,5/2/2011,6/1/2011,7/1/2011,8/1/2011,9/1/2011,10/3/2011,11/1/2011,12/1/2011,1/3/2012,2/1/2012,3/1/2012,4/2/2012,5/1/2012,6/1/2012,7/2/2012,8/1/2012,9/4/2012,10/1/2012,11/1/2012,12/3/2012,1/2/2013,2/1/2013,3/1/2013,4/1/2013,5/1/2013,6/3/2013,7/1/2013,8/1/2013,9/3/2013,10/1/2013,11/1/2013,12/2/2013,1/2/2014,2/3/2014,3/3/2014,4/1/2014,5/1/2014,6/2/2014,7/1/2014,8/1/2014,9/2/2014,10/1/2014,11/3/2014,12/1/2014,1/2/2015,2/2/2015,3/2/2015,4/1/2015,5/1/2015,6/1/2015,7/1/2015,8/3/2015,9/1/2015,10/1/2015,11/2/2015,12/1/2015,1/4/2016,2/1/2016,3/1/2016,4/1/2016,5/2/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016,10/3/2016,11/1/2016,12/1/2016,1/3/2017,2/1/2017,3/1/2017,4/3/2017,5/1/2017,6/1/2017,7/3/2017,8/1/2017,9/1/2017,10/2/2017
A,23.15,21.73,21.22,22.92,24.3,25.84,26.46,25.76,24.61,24.98,24.48,25.48,24.5,23.26,20.75,20.85,20.99,24.91,24.01,24.21,23.28,20.03,15.53,11.65,10.96,12.17,8.56,10.8,12.7,12.75,13.92,16.17,17.45,17.96,16.92,19.87,21.13,19.66,21.66,23.32,24.82,21.25,19.09,19.46,19.1,22.77,23.46,24.38,28.27,28.39,27.46,30.47,34.05,32.4,35.1,27.54,24.19,19.85,23.82,25.53,24.63,29.83,29.81,30.36,29.07,25.86,26.4,25.9,25.13,26.43,25.23,25.79,28.55,30.88,28.59,27.99,28.25,31.12,29.89,31.57,32.18,35.67,35.12,36.57,38.72,38.68,39.06,38.82,37.61,39.28,40.31,38.8,40.19,38.99,39.61,40.33,39.43,37.61,41.51,40.34,40.77,39.88,38.36,40.06,33.95,33.06,37.81,40.23,39.98,37.03,37.91,39.72,41.1,45.28,44.06,47.29,46.42,46.69,43.07,42.79,46.18,48.93,51.69,52.97,55.56,60.47,59.01,59.82,64.25,64.87
AAL,54.58,56.21,50.48,43.67,35.92,34.17,29.76,29.51,31.56,26.62,26.02,19.32,12.91,14.92,11.62,9.33,9.06,3.64,2.34,5,8.55,6.79,10.53,4.96,8.13,5.54,2.39,2.52,3.89,2.86,2.34,2.66,2.91,4.13,2.82,3.58,4.62,5.43,7.45,7.17,7.16,8.38,8.38,10.31,9.27,9.01,11.3,10.92,10.32,9.61,7.71,8.51,8.78,8.76,8.67,5.78,5.13,4.49,5.33,4.79,4.96,8.63,7.18,7.24,9.85,12.25,13.13,10.5,10.13,10.42,12.17,12.27,13.55,13.69,13.19,16.16,16.09,17.19,16.29,18.79,15.89,19.09,21.75,22.33,24.58,32.92,34.99,36.78,35.28,39.96,42.52,38.32,39.36,33.42,40.92,46.65,52.52,47.47,47.16,49.24,48.32,43.22,37.96,40.8,38.44,38.44,45.56,42.51,40.2,38.7,41.22,38.94,34.02,31.57,28.98,35.18,35.92,37.37,39.45,45.46,46,43.77,46.89,42.27,41.9,48.95,50.29,50.96,45.31,47.73
AAP,34.2,36.05,35.48,37.33,39.41,40.06,39.56,33.16,34.11,32.21,33.86,34.56,36.36,35.28,32.97,34.44,34.93,39.32,37.92,40.76,42.71,38.86,29.24,27.37,33.25,32.18,35.36,41.05,41.38,42.77,41.11,45.96,40.57,37.11,36.07,39.5,39.56,39.66,40.46,41.55,45.44,49.41,50.77,52.47,54.49,57.71,63.67,65.03,64.45,62.34,61.63,65.16,64.45,60.1,58.27,53.44,59.48,55.56,63.97,67.85,68.25,75.72,84.92,87.95,89.7,70.31,66.94,67.33,69.5,67.32,80.2,72.45,71.83,72.99,75.68,81.65,83.64,81.86,81.27,82.8,79.17,82.91,99.22,102.34,109.05,109.52,125.48,126.51,120.27,123.74,133.81,120.41,137.14,129.88,147.03,146.35,157.84,155.26,154.07,143.15,144.74,152.68,162.04,173.15,171.97,191.38,199.69,161.78,151.78,154.42,152.88,159.99,155.05,152.93,163.96,168.12,158.4,146.67,139.53,170.44,170.34,160.35,156.44,145.34,140.37,136.95,118.34,113.98,98,99.36
AAPL,10.77,10.89,11.19,12.04,12.78,15.22,15.58,17.35,18.53,20.09,24.09,22.99,25.04,17.19,15.65,19.22,23.13,23.92,22.45,20.13,21.36,14.02,13.75,11.43,11.66,11.76,11.3,13.97,16.35,17.91,18.36,21.39,21.24,23.24,24.33,25.32,27.51,25.03,26.86,30.33,34.23,33.52,31.94,33.65,32.17,36.31,39.09,40.66,42.36,44.34,44.89,44.28,44.5,44.41,44.12,50.99,48.97,48.14,50.96,49.86,52.85,58.63,69.98,79.51,74.82,72.1,76.15,77.99,87.12,85.11,77,76.01,71.19,58.82,56.14,55.94,57.29,59.17,53.72,59.95,64.57,64.48,68.72,73.27,73.52,66.66,70.57,72.43,79.09,84.53,88.03,90.48,97.71,93.82,103.48,109.32,103.87,112.7,123.12,118.51,122.99,125.03,121.25,113.44,103.64,105.43,116.59,113.38,101.79,93.17,97.66,106.85,90.97,96.23,93.72,103.65,104.88,110.57,109.56,108.14,114.72,127.17,138.67,142.55,145.41,152.58,142.94,149.46,164.05,153.81
ABBV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.42,31.52,32.05,34.86,38.97,37.1,35.6,39.07,36.77,39.55,42.65,42.16,45.29,41.58,43.98,45.75,45.72,47.97,50.4,46.85,49.16,51.09,56.88,62.15,59.26,55,54.78,51.74,58.76,61.15,62.59,64.18,55.68,50.74,58.87,54.82,53.51,51.05,52.88,53.9,58.22,59.54,59.43,63.99,61.21,60.45,54.46,57.08,60.21,59.34,61.23,63.37,65.43,65.66,71.28,69.89,74.9,89.76
ABC,19.56,22.22,22.26,22.62,21.36,21.82,21.18,20.21,20.88,19.7,19.82,19.34,19.57,20.48,18.25,18.37,18.24,18.24,17.39,18.53,18.25,16.25,13.84,13.24,15.76,16.35,13.57,14.54,15.26,16.77,16.25,17.7,18.94,19.69,20.11,22.28,23.87,24.88,25.24,25.71,28.13,27.77,27.88,27.57,25.28,27.89,29.64,28.61,31.12,32.91,33.93,36.69,37.44,37.12,38.41,34.4,36.11,32.69,36.62,34.18,34.94,36.53,34.35,36.09,34.35,33.53,36.83,36.36,35.96,36.16,37.95,39.54,40.54,43.38,44.93,48.36,50.42,49.52,51.71,55.27,54.14,58.95,62.63,67.11,66.16,61.7,64.12,62.61,61.63,69.79,69.57,73.69,73.78,73.34,83.1,87.15,86.79,91.29,99.21,107.8,110.28,109.26,103.9,102.08,96.03,91.43,94.64,96.59,98.89,86.39,85.2,84.3,83.06,74.05,78.47,83.74,85.64,78.73,68.58,76.81,81.56,87.48,91.42,86.56,81.77,92.72,94.27,92.56,80.24,83.3
ABT,17.55,19.06,19.38,20.12,20.67,20.41,19.69,18.58,18.81,20.14,19.86,20.92,20.48,21.23,19.64,20.38,19.9,20.68,20.13,20.96,22.06,21.79,21.08,18.88,20.16,21.07,17.84,17.71,15.89,17.21,17.85,17.3,17.42,18.79,19.81,21.2,21.19,20.91,21.28,20.76,20.11,18.56,18.37,19.88,20.06,20.98,20.36,18.91,19.24,18.36,19.29,20.05,21.56,21.28,21.76,20.87,21.48,20.74,22.02,22.76,23.68,22.84,24.13,25.78,26.42,25.7,27.44,28.29,28.01,29.56,28.21,27.71,28.79,30.56,30.31,31.85,33.41,33.65,31.72,33.5,29.94,30.71,33.75,34.82,34.91,32.92,36.11,35.32,35.72,36.76,38.04,39.03,39.21,38.24,40.41,41.37,41.92,42.45,44.31,43.07,44.04,46.16,46.71,47.87,41.3,38.63,43.31,43.34,40.93,36.89,37.73,40.47,37.5,38.13,38.16,43.98,41.08,41.32,38.16,36.75,38.16,41.64,44.84,43.74,43.03,45.62,48.21,48.91,50.93,53.42
ACN,28.96,30.33,28.03,30.89,31.07,32.85,33.87,33.07,32.93,32.55,30.96,27.44,29.01,28.19,28.06,28.86,30.88,32.79,32.48,33.43,33.76,29.82,26.31,23.75,27.52,26,22.75,22.6,24.41,25.58,27.58,29.41,27.14,29.86,31.37,34.58,35.05,34.32,33.4,34.86,36.77,30.85,32.17,33.9,31.43,37.3,38.17,37.35,41.25,44.45,43.43,46.58,49.69,48.76,52.09,50.46,45.27,44.17,49.76,50.2,45.86,50.59,51.68,56.71,56.9,48.39,52.95,52.7,53.45,61.23,60.95,60.07,61.16,65.35,66.26,67.17,71.4,73.48,64.53,67,65.41,66.07,66.21,69.23,73.58,70.82,74.82,72.14,73.28,74.59,74.57,72.23,74.45,73.17,75.33,80,82.65,79.85,84.82,87.04,88.75,91.44,93.22,98.11,87.73,93.58,103.38,103.89,97.84,102.12,99.4,111.79,110.98,115.46,110.13,109.51,111.63,117.25,113.84,115.33,114.16,110.97,121.62,115.32,120.09,124.09,122.74,128.61,128.85,134.14
ADBE,39.92,38.76,39.26,41.65,41.73,44.53,40.16,39.58,43.45,44,46.92,42.69,41.71,34.48,32.86,37.25,39.01,43.46,40.38,41.22,42.85,38.12,27.16,21,23.02,19.58,16.04,21.96,27.46,29.36,28.66,32.68,31.1,32.18,32.87,36.4,37.09,32.48,34.89,35.74,33.59,32.13,26.66,29.6,28.85,26.27,28.22,28.37,31.29,33.51,33.97,34.16,33.55,34.12,31.53,27.67,24.77,23.26,28.59,27.14,28.57,31.24,33.1,34.7,33.77,29.82,32.19,30.69,31.44,32.62,34.36,34.7,38.34,38.34,39.83,43.38,44.71,43.46,46.24,47.7,45.88,52.43,54.61,56.76,59.29,58.09,67.86,65.93,62.59,64.64,73.01,68.94,72.1,67.54,69.91,73.75,72.34,71.11,79.79,75.07,76.43,79.87,80.94,81.4,75.99,83.75,89.91,92.55,91.97,89.61,88.37,95.16,94.9,100.04,95.32,97.72,102.9,108.45,106.87,99.51,103.48,113.36,120.35,129.59,135.11,141.38,138.41,147.36,155.06,147.94
ADI,24.29,24.48,26.74,25.54,28.92,27.38,28.69,27.1,28.41,27.74,24.58,23.04,22.94,21.98,20.33,23.28,25.55,26.67,24.26,23.1,21.25,20.16,16.28,12.4,15.34,15.84,13.98,14.98,16.68,19.9,19.77,21.95,22.23,21.28,20.66,24.32,25.53,22.18,24.04,23.39,24.42,23.61,22.84,24.61,23.49,25.87,27.85,30.4,31.47,32.89,32.48,32.65,33.68,33.44,33.54,28.6,27.77,26.27,29.96,30,30.69,33.52,33.35,34.26,33.52,30.94,32.24,34.07,34.34,34.46,35.18,35.28,38.67,39.26,40.05,40.21,38.86,40.88,40.48,44.56,41.94,42.34,44.65,43.5,44.6,42.77,46.11,49.3,46.33,48.08,50.05,45.91,46.47,44.62,45.98,50.54,51.71,48.69,56.03,58.65,59.31,64.83,60.89,55.33,50.9,52.22,57.35,58.52,52.08,50.87,52.76,56.89,54.99,56.98,55.02,62.16,61.68,62.84,62.2,67.88,71.32,74.92,82.84,80.34,75.38,81.3,75.69,78.52,83.92,85.82
